"date","price","name"
2008-01-02,0.008957,"JPYUSD Curncy"
2008-01-02,0.8761,"AUDUSD Curncy"
2008-01-02,0.8824,"CHFUSD Curncy"
2008-01-02,0.9926,"USDCAD Curncy"
2008-01-02,1.4592,"EURUSD Curncy"
2008-01-02,1.475,"GJGB10 Index"
2008-01-02,1.9864,"GBPUSD Curncy"
2008-01-02,3.0463,"USGG2YR Index"
2008-01-02,3.3212,"USGG3M Index"
2008-01-02,3.4395,"USGG5YR Index"
2008-01-02,3.4961,"USGG6M Index"
2008-01-02,3.99,"GCAN10YR Index"
2008-01-02,4.0231,"USGG10YR Index"
2008-01-02,4.33,"GECU10YR Index"
2008-01-02,4.4522,"USGG30YR Index"
2008-01-02,4.507,"GUKG10 Index"
2008-01-02,4.648,"GBTPGR10 Index"
2008-01-02,6.327,"GACGB10 Index"
2008-01-02,7.85,"NG1 Comdty"
2008-01-02,15.18,"SLV US Equity"
2008-01-02,22.5414,"HPQ"
2008-01-02,25.35,"INTC"
2008-01-02,35.22,"MSFT"
2008-01-02,37.4,"NOK"
2008-01-02,40.3,"GSPC US Equity"
2008-01-02,40.56,"BAC"
2008-01-02,50.45,"QQQ US Equity"
2008-01-02,52.92,"EWJ US Equity"
2008-01-02,78.47,"USO US Equity"
2008-01-02,99.62,"CL1 Comdty"
2008-01-02,104.69,"IBM"
2008-01-02,144.93,"SPY US Equity"
2008-01-02,145.5,"MXFR Index"
2008-01-02,184.62,"IXND Index"
2008-01-02,306,"UNG US Equity"
2008-01-02,306.4,"HG1 Comdty"
2008-01-02,384.87,"IXI Index"
2008-01-02,462.5,"C 1 Comdty"
2008-01-02,847.56,"MID Index"
2008-01-02,915,"W 1 Comdty"
2008-01-02,1232.5,"S 1 Comdty"
2008-01-02,5550.36,"CAC Index"
2008-01-02,6416.7,"UKX Index"
2008-01-02,7949.11,"DAX Index"
2008-01-02,9647.5,"NYA Index"
2008-01-02,13043.96,"DJI Index"
2008-01-02,13926.76,"SPTSX Index"
2008-01-03,0.009119,"JPYUSD Curncy"
2008-01-03,0.8836,"AUDUSD Curncy"
2008-01-03,0.8933,"CHFUSD Curncy"
2008-01-03,0.9937,"USDCAD Curncy"
2008-01-03,1.47,"GJGB10 Index"
2008-01-03,1.4715,"EURUSD Curncy"
2008-01-03,1.9808,"GBPUSD Curncy"
2008-01-03,2.876,"USGG2YR Index"
2008-01-03,3.2489,"USGG3M Index"
2008-01-03,3.2763,"USGG5YR Index"
2008-01-03,3.2963,"USGG6M Index"
2008-01-03,3.9033,"USGG10YR Index"
2008-01-03,3.91,"GCAN10YR Index"
2008-01-03,4.21,"GECU10YR Index"
2008-01-03,4.3524,"USGG30YR Index"
2008-01-03,4.44,"GUKG10 Index"
2008-01-03,4.523,"GBTPGR10 Index"
2008-01-03,6.337,"GACGB10 Index"
2008-01-03,7.674,"NG1 Comdty"
2008-01-03,15.285,"SLV US Equity"
2008-01-03,22.5414,"HPQ"
2008-01-03,24.67,"INTC"
2008-01-03,35.37,"MSFT"
2008-01-03,38.14,"NOK"
2008-01-03,39.85,"GSPC US Equity"
2008-01-03,40.3,"BAC"
2008-01-03,50.62,"QQQ US Equity"
2008-01-03,53.12,"EWJ US Equity"
2008-01-03,78.37,"USO US Equity"
2008-01-03,99.18,"CL1 Comdty"
2008-01-03,104.9,"IBM"
2008-01-03,144.86,"SPY US Equity"
2008-01-03,145.22,"MXFR Index"
2008-01-03,184.51,"IXND Index"
2008-01-03,298.56,"UNG US Equity"
2008-01-03,318.8,"HG1 Comdty"
2008-01-03,386.9,"IXI Index"
