,CAT,CB,CBG,CBS,CCE,CCI,CCL,CELG,CERN,CF,CHK,CHRW,CI,CINF,CL,CLX,CMA,CMCSA,CME,CMG,CMI,CMS,CNP,CNX,COF
CAT,0.0408367183555,0.0114845584995,0.0150735084506,0.0170062912773,0.0142885160853,0.00857393053656,0.0143962128073,0.0165250154733,0.015196238202,0.012164377772,0.0220223892229,0.0129896248873,0.0126306866389,0.013026874399,0.0100125593753,0.00687726573399,0.0185081536835,0.0142678880719,0.0126943590899,0.0109477982025,0.017665538341,0.00849960054835,0.0123790596996,0.0174803468374,0.0158735937956
CB,0.0114845584995,0.0429997005462,0.0112639027587,0.0125210721307,0.0110376471317,0.0068283664562,0.0113704472743,0.0137962300747,0.011402361105,0.00922787802806,0.0133893173826,0.00948908280522,0.00951186373703,0.00944506585084,0.00796342205074,0.0055859571388,0.0117345831783,0.0108321900721,0.00933942900403,0.00817603631871,0.012795331583,0.00664817475554,0.00926132310684,0.0112956899718,0.0112223569146
CBG,0.0150735084506,0.0112639027587,0.0444104616992,0.0175297692313,0.014933154317,0.00893988653581,0.0157345320981,0.0205667447011,0.0167651878943,0.0124840118405,0.0176647763042,0.013423829918,0.0129086854205,0.0125620387334,0.0100635735496,0.00700306250489,0.0163668511788,0.0143387798655,0.0126723204464,0.0127053740125,0.0174484054052,0.00801269314446,0.0113329044275,0.0153400011986,0.0154116468059
CBS,0.0170062912773,0.0125210721307,0.0175297692313,0.0491893145197,0.0167712738526,0.00995603553947,0.0176890125027,0.0232474519212,0.0191099774829,0.0140485682216,0.0203641393992,0.015265200104,0.0145449686755,0.014174340436,0.0111447435604,0.00772640388504,0.0188890628774,0.0160818991377,0.0143157456178,0.0145926116056,0.0197603610914,0.00882001846514,0.0125763124733,0.0176040250528,0.0175195783338
CCE,0.0142885160853,0.0110376471317,0.014933154317,0.0167712738526,0.0417028405701,0.00883373665959,0.0154419024485,0.0204276673439,0.0161113655661,0.0120963192829,0.0155526554575,0.0128002725894,0.0124721974753,0.0119744232952,0.00996593564808,0.00699242444763,0.0147278259378,0.0139148272782,0.0121376560312,0.0121593282386,0.0166089958667,0.00791335933112,0.0109842905544,0.0139196703693,0.0145282365701
CCI,0.00857393053656,0.0068283664562,0.00893988653581,0.00995603553947,0.00883373665959,0.0287369246792,0.00935105226264,0.0122498478444,0.00947719749841,0.00730571851344,0.00884241097892,0.00756125042796,0.00751258878418,0.00718637114661,0.00621041695953,0.00438798132316,0.00837431295524,0.00845978615716,0.00726928594877,0.00703736325789,0.0098928625707,0.0049855981636,0.00681477165139,0.0080249988605,0.00858008073404
CCL,0.0143962128073,0.0113704472743,0.0157345320981,0.0176890125027,0.0154419024485,0.00935105226264,0.0503738127133,0.0231113680584,0.0174881339498,0.012726791424,0.0141840553749,0.0135181281227,0.0130992312907,0.0122398311501,0.0103801722774,0.0073234352959,0.0143476801904,0.0145010424908,0.0126144652851,0.0134673205011,0.0171772456438,0.00799689695943,0.0109333993851,0.0135024476051,0.0149025745319
CELG,0.0165250154733,0.0137962300747,0.0205667447011,0.0232474519212,0.0204276673439,0.0122498478444,0.0231113680584,0.0800082286451,0.0247575144669,0.0165215039541,0.0112882885092,0.017854774413,0.0169407097685,0.0146819939354,0.0129637099006,0.00926451173112,0.0150503116457,0.0183003126837,0.0158831618166,0.0200537927922,0.0213750503179,0.00908348674794,0.0118951490407,0.0138638518406,0.018169238278
CERN,0.015196238202,0.011402361105,0.0167651878943,0.0191099774829,0.0161113655661,0.00947719749841,0.0174881339498,0.0247575144669,0.0475005068196,0.0133601605503,0.0162869476813,0.014721553083,0.0138101182228,0.0129402015927,0.0102913910514,0.00717446409661,0.0165094306371,0.0150312465709,0.013410089237,0.0151772078501,0.0184177500797,0.00771250806308,0.010833047988,0.0151944390717,0.0161911009568
CF,0.012164377772,0.00922787802806,0.0124840118405,0.0140485682216,0.0120963192829,0.00730571851344,0.012726791424,0.0165215039541,0.0133601605503,0.0606734275154,0.0139509211024,0.0107313458421,0.0104226917345,0.0101334685474,0.00827446390471,0.00577937601959,0.0128947838337,0.0116357756006,0.0102060099999,0.0100366882793,0.014016734379,0.00663299258036,0.00930722412842,0.012162708905,0.0123326961927
