Fama-French Factors,,,,
,,,,
Date,RF,Mkt-RF,SMB,HML
2015/7/31,0,-0.15,0.78,-0.95
2015/7/30,0,0.12,0.18,-0.31
2015/7/29,0,0.74,-0.34,0.54
2015/7/28,0,1.23,-0.35,-0.1
2015/7/27,0,-0.74,-0.26,0.21
2015/7/24,0,-1.08,-0.62,0.03
2015/7/23,0,-0.6,-0.36,-0.51
2015/7/22,0,-0.18,0.22,0.1
2015/7/21,0,-0.47,0.03,0.21
2015/7/20,0,-0.01,-0.72,-0.65
2015/7/17,0,0.05,-0.61,-0.71
2015/7/16,0,0.78,-0.18,-0.59
2015/7/15,0,-0.19,-0.77,-0.13
2015/7/14,0,0.47,0.15,0.06
2015/7/13,0,1.14,-0.07,-0.5
2015/7/10,0,1.24,0.21,-0.58
2015/7/9,0,0.28,0.2,-0.15
2015/7/8,0,-1.68,-0.03,0.11
2015/7/7,0,0.53,-0.5,-0.07
2015/7/6,0,-0.37,0.15,-0.53
2015/7/2,0,-0.11,-0.6,0.11
2015/7/1,0,0.6,-0.72,-0.21
2015/6/30,0,0.33,0.31,-0.7
2015/6/29,0,-2.15,-0.43,0.34
2015/6/26,0,-0.06,-0.21,0.43
2015/6/25,0,-0.25,0.36,-0.2
2015/6/24,0,-0.79,-0.1,0.12
2015/6/23,0,0.12,0.22,0.29
2015/6/22,0,0.63,0.1,-0.12
2015/6/19,0,-0.43,0.54,-0.21
2015/6/18,0,0.99,0.2,-0.42
2015/6/17,0,0.16,-0.3,-0.53
2015/6/16,0,0.57,0.11,-0.01
2015/6/15,0,-0.45,0.13,-0.15
2015/6/12,0,-0.63,0.32,0.1
2015/6/11,0,0.21,-0.09,-0.12
2015/6/10,0,1.2,0.16,0.16
2015/6/9,0,0.02,-0.27,0.24
2015/6/8,0,-0.66,0.02,0.05
2015/6/5,0,0.06,0.81,-0.05
2015/6/4,0,-0.88,-0.14,0.02
2015/6/3,0,0.39,0.87,-0.4
2015/6/2,0,-0.02,0.33,0.31
2015/6/1,0,0.17,-0.04,-0.2
2015/5/29,0,-0.58,0.03,0.06
2015/5/28,0,-0.12,0.12,0.07
2015/5/27,0,0.93,0.33,-0.38
2015/5/26,0,-1.01,-0.04,-0.01
2015/5/22,0,-0.22,-0.11,-0.14
2015/5/21,0,0.23,-0.32,0.08
2015/5/20,0,-0.05,0.21,-0.09
2015/5/19,0,-0.09,-0.07,0.03
2015/5/18,0,0.44,0.73,-0.08
2015/5/15,0,0.05,-0.27,-0.01
2015/5/14,0,1.01,-0.1,-0.36
2015/5/13,0,0.01,0.02,-0.07
2015/5/12,0,-0.27,-0.01,0.11
2015/5/11,0,-0.39,0.68,-0.1
2015/5/8,0,1.21,-0.53,-0.2
2015/5/7,0,0.39,0.03,-0.44
2015/5/6,0,-0.31,0.62,-0.2
2015/5/5,0,-1.19,-0.1,0.34
2015/5/4,0,0.32,0.05,0.15
2015/5/1,0,1.01,-0.33,-0.6
2015/4/30,0,-1.11,-1.06,0.72
2015/4/29,0,-0.38,-0.71,0.71
2015/4/28,0,0.27,0.2,1.06
2015/4/27,0,-0.54,-0.68,0.5
2015/4/24,0,0.17,-0.46,-0.18
2015/4/23,0,0.29,0.23,-0.13
2015/4/22,0,0.46,-0.36,0.13
2015/4/21,0,-0.1,0.19,-0.81
2015/4/20,0,0.95,0.16,-0.22
2015/4/17,0,-1.23,-0.48,0.32
2015/4/16,0,-0.08,-0.09,-0.26
2015/4/15,0,0.57,0.23,0.33
2015/4/14,0,0.11,-0.21,0.29
2015/4/13,0,-0.38,0.53,0.13
2015/4/10,0,0.49,-0.07,-0.28
2015/4/9,0,0.41,-0.71,-0.03
2015/4/8,0,0.37,0.52,-0.73
2015/4/7,0,-0.22,-0.18,-0.21
2015/4/6,0,0.61,-0.29,0
2015/4/2,0,0.35,-0.08,0.28
2015/4/1,0,-0.38,0.33,0.53
2015/3/31,0,-0.75,0.45,0.38
2015/3/30,0,1.24,0.01,-0.01
2015/3/27,0,0.32,0.47,-0.7
2015/3/26,0,-0.22,0.12,-0.1
2015/3/25,0,-1.56,-0.95,1.15
2015/3/24,0,-0.51,0.59,-0.29
2015/3/23,0,-0.19,0.23,0.23
2015/3/20,0,0.81,-0.14,0.51
2015/3/19,0,-0.36,0.86,-1.17
2015/3/18,0,1.08,-0.55,0.18
2015/3/17,0,-0.2,0.56,-0.02
2015/3/16,0,1.23,-0.78,-0.43
2015/3/13,0,-0.57,0.2,-0.02
2015/3/12,0,1.28,0.43,0.37
2015/3/11,0,-0.04,0.57,0.46
2015/3/10,0,-1.63,0.41,-0.42
2015/3/9,0,0.37,0.08,-0.1
2015/3/6,0,-1.29,0.29,0.31
2015/3/5,0,0.15,0.24,-0.44
2015/3/4,0,-0.41,0.08,-0.39
2015/3/3,0,-0.43,-0.28,0.38
2015/3/2,0,0.62,0.24,-0.66
2015/2/27,0,-0.36,-0.21,0.27
2015/2/26,0,-0.08,0.67,-0.53
2015/2/25,0,0.02,0.19,-0.48
2015/2/24,0,0.32,-0.05,0.65
2015/2/23,0,-0.08,0.05,-0.37
2015/2/20,0,0.61,-0.41,-0.33
2015/2/19,0,-0.01,0.28,-0.48
2015/2/18,0,0.03,0.24,-0.68
2015/2/17,0,0.17,-0.01,-0.08
2015/2/13,0,0.48,0.17,-0.32
2015/2/12,0,1,0.15,-0.15
2015/2/11,0,0.03,-0.1,-0.34
2015/2/10,0,1.04,-0.32,-0.67
2015/2/9,0,-0.46,-0.38,0.1
2015/2/6,0,-0.2,0.1,0.25
2015/2/5,0,1.1,0.47,-0.13
2015/2/4,0,-0.35,-0.07,-0.24
2015/2/3,0,1.49,0.14,0.56
2015/2/2,0,1.24,-0.47,0.99
2015/1/30,0,-1.3,-0.76,0.12
2015/1/29,0,0.98,0.24,-0.05
2015/1/28,0,-1.39,-0.06,-0.81
2015/1/27,0,-1.21,0.66,0.25
2015/1/26,0,0.43,0.56,-0.01
2015/1/23,0,-0.47,0.48,-0.75
2015/1/22,0,1.58,0.48,0.16
2015/1/21,0,0.42,-0.96,0.67
2015/1/20,0,0.11,-0.67,-0.46
2015/1/16,0,1.36,0.44,-0.17
2015/1/15,0,-1.08,-0.95,0.68
2015/1/14,0,-0.6,0.27,-0.35
2015/1/13,0,-0.19,0.29,0.02
2015/1/12,0,-0.79,0.37,-0.37
2015/1/9,0,-0.85,-0.01,-0.4
2015/1/8,0,1.81,-0.12,-0.32
2015/1/7,0,1.19,0.17,-0.64
2015/1/6,0,-1.04,-0.79,-0.15
2015/1/5,0,-1.84,0.35,-0.74
2015/1/2,0,-0.11,-0.59,0.17
2014/12/31,0,-0.93,0.48,-0.44
2014/12/30,0,-0.48,0.06,0.23
2014/12/29,0,0.13,0.19,0.62
2014/12/26,0,0.39,0.35,-0.25
2014/12/24,0,0.07,0.36,-0.17
