Final Project: Stock Data,,,,,,
,,,,,,
Group,Symbol,Price,ADV,Volatility,LnMktCap,EstReturn %
1,A,40.95,"2,935,000",0.2133,23.32,0.15
1,AA,9.84,"21,898,000",0.2979,23.2,0.19
1,AAL,40.01,"12,028,000",0.3895,23.99,0.20
1,AAP,174.21,"856,000",0.2485,23.2,0.14
1,AAPL,120.75,"64,649,000",0.2258,27.22,0.11
1,ABBV,70.01,"8,747,000",0.2447,25.33,0.16
1,ABC,105.46,"1,708,000",0.15,23.78,0.07
1,ABT,50.69,"5,979,000",0.1659,24.94,0.11
1,ACE,108.77,"1,429,000",0.1341,24.35,0.07
1,ACN,103.11,"2,774,000",0.1715,24.93,0.08
1,ADBE,81.99,"3,184,000",0.248,24.55,0.12
1,ADI,57.87,"2,108,000",0.2174,23.67,0.13
1,ADM,47.14,"3,720,000",0.2021,23.79,0.11
1,ADP,79.77,"1,895,000",0.1464,24.41,0.11
1,ADS,275.04,"587,000",0.2382,23.58,0.13
1,ADSK,50.58,"2,571,000",0.2578,23.39,0.17
1,ADT,34.53,"2,603,000",0.2844,22.46,0.17
1,AEE,40.64,"1,597,000",0.1776,23.07,0.11
1,AEP,56.04,"2,818,000",0.1673,24.03,0.08
1,AES,12.8,"5,367,000",0.2251,22.62,0.11
1,AET,112.97,"2,565,000",0.2194,24.33,0.12
1,AFL,63.66,"2,000,000",0.1479,24.06,0.10
1,AGN,331.15,"2,339,000",0.2556,25.53,0.15
1,AIG,64.12,"8,538,000",0.1812,25.08,0.10
1,AIV,38.79,"1,191,000",0.1777,22.49,0.09
2,AIZ,74.3,"578,000",0.1707,22.45,0.11
2,AKAM,76.71,"1,879,000",0.2833,23.04,0.13
2,ALL,68.59,"2,452,000",0.1456,23.95,0.10
2,ALTR,49.48,"3,829,000",0.2984,23.5,0.17
2,ALXN,197.44,"1,381,000",0.3629,24.41,0.18
2,AMAT,17.26,"14,531,000",0.2579,23.82,0.16
2,AME,53.05,"1,132,000",0.1824,23.32,0.12
2,AMG,207.9,"426,000",0.2285,22.98,0.11
2,AMGN,175.77,"3,421,000",0.2465,25.54,0.14
2,AMP,125.67,"1,067,000",0.2023,23.7,0.12
2,AMT,95.11,"2,279,000",0.1698,24.46,0.08
2,AMZN,536.15,"3,617,000",0.3189,26.48,0.15
2,AN,62.34,"973,000",0.2353,22.67,0.12
2,ANTM,153.59,"2,035,000",0.21,24.26,0.15
2,AON,100.77,"1,418,000",0.1703,23.98,0.08
2,APA,45.86,"3,401,000",0.2784,23.68,0.13
2,APC,74.06,"4,497,000",0.29,24.18,0.15
2,APD,142.51,"1,237,000",0.2022,24.13,0.13
2,APH,56.26,"1,131,000",0.1765,23.55,0.09
2,ARG,102.02,"468,000",0.1691,23.02,0.12
2,ATVI,25.79,"6,918,000",0.2564,24.02,0.15
2,AVB,172.34,"774,000",0.164,23.93,0.07
2,AVGO,125.14,"2,538,000",0.3319,24.29,0.20
2,AVY,60.47,"805,000",0.1905,22.52,0.10
2,AXP,76.06,"4,618,000",0.1839,24.98,0.08
3,AZO,700.94,"260,000",0.1596,23.89,0.08
3,BA,143.26,"4,204,000",0.1956,25.33,0.13
3,BAC,17.82,"86,022,000",0.2112,25.93,0.13
3,BAX,39.96,"6,286,000",0.1577,23.76,0.08
3,BBBY,65.23,"2,396,000",0.2193,22.93,0.09
3,BBT,40,"3,701,000",0.1633,24.13,0.10
3,BBY,32.29,"6,028,000",0.4218,23.12,0.24
3,BCR,196.65,"605,000",0.1771,23.35,0.08
3,BDX,151.48,"980,000",0.1551,24.18,0.09
3,BEN,45.55,"2,038,000",0.1961,23.94,0.08
3,BHI,57.97,"4,406,000",0.2706,23.87,0.17
3,BIIB,318.78,"1,541,000",0.3879,24.89,0.20
3,BK,43.4,"5,252,000",0.178,24.59,0.12
3,BLK,333.96,"594,000",0.1956,24.81,0.11
3,BLL,67.71,"995,000",0.1836,22.97,0.10
3,BMY,65.64,"7,180,000",0.2232,25.45,0.13
3,BRCM,50.46,"7,517,000",0.2613,24.14,0.16
3,BSX,17.34,"11,965,000",0.2566,23.93,0.12
3,BWA,49.56,"1,549,000",0.2414,22.99,0.15
3,BXP,123.28,"803,000",0.1655,23.68,0.07
3,C,58.46,"20,382,000",0.2032,25.81,0.11
3,CA,28.86,"2,760,000",0.1778,23.24,0.09
3,CAG,44.06,"3,405,000",0.197,23.62,0.08
3,CAH,84.98,"2,175,000",0.1883,24.08,0.09
3,CAM,50.46,"2,907,000",0.2988,23.3,0.19
4,CAT,78.63,"5,224,000",0.2017,24.49,0.14
4,CB,124.33,"1,223,000",0.2069,24.12,0.10
4,CBG,37.97,"2,061,000",0.2103,23.24,0.14
4,CBS,53.28,"6,561,000",0.2214,23.9,0.12
4,CCE,50.8,"2,210,000",0.2038,23.17,0.10
4,CCI,81.91,"2,550,000",0.1691,24.09,0.08
4,CCL,52.99,"4,036,000",0.224,24.43,0.09
4,CELG,131.25,"5,468,000",0.2824,25.21,0.17
4,CERN,71.72,"1,652,000",0.2176,23.73,0.14
4,CF,58.89,"3,777,000",0.2457,23.09,0.12
4,CHK,8.66,"13,378,000",0.407,22.02,0.21
4,CHRW,69.75,"1,680,000",0.2149,23.01,0.15
4,CI,144.06,"1,834,000",0.2384,24.27,0.14
4,CINF,55.21,"566,000",0.1412,23.03,0.06
4,CL,68.02,"3,051,000",0.1392,24.82,0.07
4,CLX,111.94,"1,027,000",0.1398,23.51,0.10
4,CMA,47.43,"1,617,000",0.2155,22.83,0.09
4,CMCSA,62.41,"13,844,000",0.1829,25.74,0.08
4,CME,95.52,"1,635,000",0.1867,24.21,0.14
4,CMG,742.23,"463,000",0.27,23.61,0.15
4,CMI,128.54,"1,495,000",0.2062,23.59,0.10
4,CMS,33.97,"2,609,000",0.1667,23,0.08
4,CNP,19.09,"3,888,000",0.1839,22.72,0.07
4,CNX,16.51,"2,941,000",0.3239,21.27,0.14
4,COF,80.9,"2,915,000",0.1947,24.48,0.14
5,COG,26.14,"5,911,000",0.2789,22.8,0.17
5,COH,30.85,"4,499,000",0.2464,22.91,0.15
5,COL,84.3,"809,000",0.1574,23.24,0.10
5,COP,50.34,"6,260,000",0.2103,24.95,0.10
5,COST,144.9,"2,034,000",0.1469,25,0.08
5,CPB,49.31,"1,515,000",0.1681,23.49,0.08
5,CRM,73.3,"5,085,000",0.3294,24.71,0.18
5,CSC,65.18,"1,145,000",0.2272,22.99,0.10
5,CSCO,28.42,"32,964,000",0.2038,25.65,0.08
5,CSX,31.07,"7,036,000",0.2073,24.07,0.14
5,CTAS,85.5,"598,000",0.1652,23.02,0.13
5,CTL,28.03,"4,687,000",0.2009,23.46,0.09
5,CTSH,63.1,"4,000,000",0.2452,24.4,0.16
5,CTXS,75.61,"2,317,000",0.2607,23.2,0.17
5,CVC,28.05,"3,234,000",0.2942,22.85,0.19
5,CVS,112.47,"4,752,000",0.1471,25.35,0.10
5,CVX,87.38,"6,696,000",0.1807,25.87,0.09
5,D,71.04,"2,558,000",0.1615,24.42,0.08
5,DAL,44.21,"13,235,000",0.3313,24.34,0.19
5,DD,55.36,"4,717,000",0.1796,24.84,0.07
5,DE,94.57,"3,061,000",0.1545,23.94,0.11
5,DFS,55.53,"2,974,000",0.1961,23.92,0.11
5,DG,80.37,"4,001,000",0.2192,23.69,0.14
5,DGX,73.81,"1,759,000",0.1961,23,0.12
5,DHI,29.63,"6,200,000",0.313,23.24,0.16
