Ticker,FileName,Date,total_num_of_words,positive_number,positive_percentage,negative_number,negative_percentage
CVS,CVS_2_2017_02_09,2017-02-09,7028,65,0.00924871940808,253,0.0359988616961
CVS,CVS_3_2016_02_09,2016-02-09,5701,52,0.00912120680582,207,0.0363094194001
CVS,CVS_4_2015_02_10,2015-02-10,4543,43,0.00946511116003,153,0.0336781862206
CVS,CVS_5_2014_02_11,2014-02-11,3546,31,0.00874224478285,98,0.0276367738297
CVS,CVS_6_2013_02_15,2013-02-15,3346,26,0.00777047220562,73,0.0218170950389
CVS,CVS_7_2012_02_17,2012-02-17,3164,24,0.00758533501896,72,0.0227560050569
CVS,CVS_8_2011_02_18,2011-02-18,3020,25,0.00827814569536,66,0.0218543046358
CVS,CVS_8_2011_02_18,2011-02-18,3020,25,0.00827814569536,66,0.0218543046358
CVS,CVS_8_2011_02_18,2011-02-18,3020,25,0.00827814569536,66,0.0218543046358
IBM,IBM_4_2015_02_24,2015-02-24,3616,43,0.0118915929204,136,0.037610619469
IBM,IBM_5_2014_02_25,2014-02-25,3574,41,0.011471740347,134,0.0374930050364
IBM,IBM_6_2013_02_26,2013-02-26,3029,37,0.0122152525586,104,0.0343347639485
IBM,IBM_7_2012_02_28,2012-02-28,3008,37,0.0123005319149,102,0.0339095744681
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
IBM,IBM_8_2011_02_22,2011-02-22,2958,37,0.0125084516565,102,0.0344827586207
NKE,NKE_2_2016_07_21,2016-07-21,2,0,0.0,0,0.0
NKE,NKE_3_2015_07_23,2015-07-23,2,0,0.0,0,0.0
NKE,NKE_4_2014_07_25,2014-07-25,2,0,0.0,0,0.0
NKE,NKE_5_2013_07_23,2013-07-23,2,0,0.0,0,0.0
NKE,NKE_6_2012_07_24,2012-07-24,3,0,0.0,0,0.0
NKE,NKE_7_2011_07_22,2011-07-22,6122,55,0.00898399215943,245,0.0400196014374
M,M_2_2017_03_29,2017-03-29,4234,40,0.00944733112896,188,0.0444024563061
M,M_3_2016_03_30,2016-03-30,3113,26,0.00835207195631,138,0.0443302280758
M,M_4_2015_04_01,2015-04-01,2988,21,0.0070281124498,135,0.0451807228916
M,M_5_2014_04_02,2014-04-02,3199,21,0.00656455142232,142,0.0443888715224
M,M_6_2013_04_03,2013-04-03,3162,21,0.00664136622391,138,0.0436432637571
M,M_7_2012_03_28,2012-03-28,3065,19,0.00619902120718,132,0.0430668841762
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
M,M_8_2011_03_30,2011-03-30,3021,21,0.00695134061569,122,0.040383978815
XOM,XOM_7_2012_02_24,2012-02-24,2003,32,0.0159760359461,81,0.0404393409885
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
XOM,XOM_8_2011_02_25,2011-02-25,1875,31,0.0165333333333,65,0.0346666666667
