Ticker,Name
CVS,CVS Health Corporation
IBM,International Business Machines Corporation
GE,General Electric Company
NKE,"NIKE, Inc."
M,"Macy's, Inc."
PG,The Procter & Gamble Company
XOM,Exxon Mobil Corporation
F,Ford Motor Company
MCD,McDonald's Corporation
TGT,Target Corporation
BAC,Bank of America Corporation
GS,"The Goldman Sachs Group, Inc."
JNJ,Johnson & Johnson
UNH,UnitedHealth Group Incorporated
KO,The Coca-Cola Company
WHR,Whirlpool Corporation
DIS,The Walt Disney Company
CMCSA,Comcast Corporation
RTN,Raytheon Company
BA,The Boeing Company
