Ticker,FileName,Date,total_num_of_words,positive_number,positive_percentage,negative_number,negative_percentage
AMZN,2016,1/29/2016,6351,217,0.034167847,147,0.02314596
AMZN,2015,1/30/2015,6276,214,0.034098152,145,0.023103888
AMZN,2014,1/31/2014,5774,207,0.035850364,138,0.023900242
AMZN,2013,1/30/2013,5894,212,0.035968782,138,0.02341364
AMZN,2012,2/1/2012,5799,209,0.036040697,135,0.023279876
AMZN,2011,1/28/2011,5798,204,0.035184546,136,0.023456364
AMZN,2010,1/29/2010,5757,203,0.035261421,138,0.023970818
AMZN,2009,1/30/2009,5990,225,0.037562604,142,0.023706177
AMZN,2008,2/11/2008,5921,225,0.038000338,141,0.023813545
AMZN,2007,2/16/2007,6100,233,0.038196721,140,0.02295082
AMZN,2006,2/17/2006,7501,268,0.03572857,165,0.021997067
FE,2016,2/16/2016,13507,418,0.030946916,324,0.023987562
FE,2015,2/17/2015,14006,429,0.03062973,313,0.022347565
FE,2014,2/27/2014,14144,445,0.031462104,311,0.021988122
FE,2013,2/25/2013,11348,360,0.031723652,256,0.022559041
FE,2012,2/28/2012,11135,345,0.030983386,229,0.020565784
FE,2011,2/16/2011,12861,374,0.029080165,242,0.018816577
FE,2010,2/19/2010,11934,399,0.033433886,240,0.020110608
FE,2009,2/25/2009,10074,326,0.032360532,186,0.018463371
FE,2008,2/29/2008,7122,230,0.032294299,136,0.01909576
FE,2007,2/28/2007,6153,262,0.042580855,117,0.019015115
FE,2006,3/2/2006,3910,142,0.036317136,90,0.023017903
WMT,2016,3/30/2016,7698,234,0.030397506,156,0.020265004
WMT,2015,4/1/2015,6549,209,0.031913269,135,0.020613834
WMT,2014,3/21/2014,6004,182,0.030313125,119,0.01982012
WMT,2013,3/26/2012,5258,159,0.030239635,107,0.020349943
WMT,2012,3/27/2012,3938,134,0.034027425,74,0.018791265
WMT,2011,3/30/2011,3889,127,0.03265621,74,0.019028028
WMT,2010,3/30/2010,3780,130,0.034391534,67,0.017724868
WMT,2009,4/1/2009,3686,127,0.034454693,65,0.017634292
WMT,2008,3/31/2008,3515,125,0.035561878,60,0.017069701
WMT,2007,3/27/2007,2860,104,0.036363636,40,0.013986014
WMT,2006,3/29/2006,2624,95,0.036204268,33,0.01257622
KO,KO_3_2016_02_25,2/25/2016,9297,307,0.033021405,237,0.025492094
KO,KO_4_2015_02_25,2/25/2015,8352,260,0.031130268,208,0.024904215
KO,KO_5_2014_02_27,2/27/2014,7827,242,0.030918615,189,0.024147183
KO,KO_6_2013_02_27,2/27/2013,7311,216,0.029544522,180,0.024620435
KO,KO_7_2012_02_23,2/23/2012,7557,235,0.031096996,172,0.022760355
KO,KO_8_2011_02_28,2/28/2011,6993,209,0.02988703,164,0.023452023
KO,KO_9_2010_02_26,2/26/2010,5454,143,0.026219289,133,0.024385772
KO,KO_10_2009_02_26,2/26/2009,5454,143,0.026219289,133,0.024385772
KO,KO_11_2008_02_28,2/28/2008,4653,119,0.025574898,94,0.02020202
KO,KO_12_2007_02_21,2/21/2007,4031,105,0.026048127,94,0.023319276
KO,KO_13_2006_02_28,2/28/2006,3898,266,0.068240123,85,0.021806054
BA,CVS_2_2017_02_09,2/10/2016,5201,182,0.034993271,93,0.017881177
BA,CVS_3_2016_02_09,2/12/2015,5172,179,0.034609435,92,0.01778809
